iter	MAE
0	0.9294915705
1	0.9013485421
2	0.8766630029
3	0.8526540493
4	0.8320366201
5	0.8126677064
6	0.7941135745
7	0.7780958429
8	0.764721428
9	0.7535937976
10	0.7421065219
11	0.7323183851
12	0.7233187793
13	0.7145642501
14	0.7068777589
15	0.6974112926
16	0.6916615429
17	0.6857727711
18	0.6780730468
19	0.670677886
20	0.6676008829
21	0.6618396625
22	0.6550216099
23	0.6513208334
24	0.6475553601
25	0.6440696055
26	0.6398742462
27	0.63572746
28	0.6317238689
29	0.6292291185
30	0.6270780973
31	0.6252911548
32	0.6222053668
33	0.6187898169
34	0.6179080532
35	0.6159632477
36	0.6142835359
37	0.613138622
38	0.6117246203
39	0.6105042629
40	0.6090902013
41	0.6076797111
42	0.6043528226
43	0.6025833666
44	0.5997647673
45	0.5989870316
46	0.5986773984
47	0.5978890917
48	0.5968633304
49	0.5960516513
50	0.5940987553
51	0.5937906281
52	0.592784334
53	0.5922093946
54	0.5912929054
55	0.5884602534
56	0.5878940264
57	0.5868737119
58	0.5863562881
59	0.5853908703
60	0.5852224464
61	0.5832678032
62	0.5823023212
63	0.5819473417
64	0.5809515825
65	0.5808105843
66	0.5801947407
67	0.5797664123
68	0.5789309469
69	0.5778550779
70	0.5759936154
71	0.5757285395
72	0.575227287
73	0.5747674208
74	0.5747224982
75	0.5746179614
76	0.5729755281
77	0.5723466728
78	0.5715004469
79	0.5714632544
80	0.5714674991
81	0.5704897339
82	0.5706717015
83	0.5701364524
84	0.5700383129
85	0.5694802938
86	0.5688780615
87	0.5691655056
88	0.5690988101
89	0.5686115575
90	0.5685668446
91	0.5680187206
92	0.5661475114
93	0.5652895232
94	0.565066774
95	0.5649149108
96	0.564294721
97	0.5642082662
98	0.5640193298
99	0.5640482748
100	0.5635639958
101	0.5634593026
102	0.5634277695
103	0.5632915888
104	0.5627871757
105	0.5623807039
106	0.5623439096
107	0.5618806453
108	0.5618033432
109	0.5606396725
110	0.5606466363
111	0.5605126289
112	0.5604316883
113	0.5602898022
114	0.5599653107
115	0.5594401108
116	0.5585699365
117	0.5582919456
118	0.5581069238
119	0.5581218233
120	0.5579645716
121	0.5568563648
122	0.5564402205
123	0.5562715049
124	0.5560476171
125	0.5554646119
126	0.5545605266
127	0.5544078839
128	0.5541777527
129	0.5538354956
130	0.5529954024
131	0.55277957
132	0.5526732551
133	0.5525656724
134	0.552319231
135	0.5520459378
136	0.5520088086
137	0.5519304197
138	0.5516480543
139	0.5514511087
140	0.5510808388
141	0.5498033389
142	0.549598466
143	0.5495205491
144	0.549347036
145	0.5493272165
146	0.5493455203
147	0.5492643976
148	0.5491793648
149	0.549082293
150	0.549003969
151	0.5489246749
152	0.5489220538
153	0.5487115032
154	0.5486932916
155	0.5486775741
156	0.5485586622
157	0.5485483145
158	0.548506719
159	0.5483191426
160	0.5481171685
161	0.5481405514
162	0.5481628357
163	0.5481481422
164	0.5478973308
165	0.5478507035
166	0.5472752808
167	0.5472841047
168	0.5470364608
169	0.5470296948
170	0.5469715733
171	0.5469976697
172	0.5470215743
173	0.5470530114
174	0.5468588854
175	0.5466928879
176	0.546724682
177	0.5467122091
178	0.5465563134
179	0.5465636382
180	0.5464280121
181	0.5463292204
182	0.5462015835
183	0.5461250321
184	0.5461501922
185	0.5461730307
186	0.5460818131
187	0.5458021728
188	0.5458728334
189	0.5458624354
190	0.5458659635
191	0.5458817285
192	0.5459128073
193	0.5459012266
194	0.5459257778
195	0.5459321393
196	0.5458035512
197	0.545765137
198	0.5458207325
199	0.545821236
200	0.5457026862
201	0.5457070552
202	0.5456390814
203	0.5455656496
204	0.545478108
205	0.545475309
206	0.5453759261
207	0.5454256196
208	0.545470762
209	0.54549204
210	0.5454270098
211	0.5453103971
212	0.5452432635
213	0.5452832404
214	0.5453198258
215	0.5453529037
216	0.5452541327
217	0.5452547534
218	0.5452882163
219	0.5451913561
220	0.5452316521
221	0.5451399526
222	0.5451856327
223	0.545213762
224	0.5451975052
225	0.5452257306
226	0.5452512951
227	0.545261817
228	0.5452838222
229	0.5451913801
230	0.5451960658
231	0.5452066179
232	0.5452161562
233	0.5452269028
234	0.5450995401
235	0.5451037715
236	0.5451076223
237	0.545105523
238	0.545092417
239	0.5450964979
240	0.5451157461
241	0.5451194919
242	0.5451427823
243	0.5451396147
244	0.5450551664
245	0.5450273461
246	0.5450328215
247	0.5450332347
248	0.5450328833
249	0.545032668
250	0.545047561
251	0.5450459527
252	0.5450445387
253	0.5448896555
254	0.5448939761
255	0.5448245059
256	0.5448408828
257	0.5448338469
258	0.5447407172
259	0.5447335463
260	0.544737439
261	0.5447474678
262	0.5447516461
263	0.5446594677
264	0.544673807
265	0.5446719646
266	0.5446891706
267	0.5446958142
268	0.5446783312
269	0.5445917203
270	0.5445890688
271	0.544583786
272	0.5445943307
273	0.5444508368
274	0.5444652171
275	0.5444843004
276	0.5445015012
277	0.5444999501
278	0.5445155709
279	0.5445301034
280	0.5445278583
281	0.5445258615
282	0.5445318703
283	0.5445361897
284	0.5445250577
285	0.544527568
286	0.5445315154
287	0.5445350693
288	0.544538288
289	0.5445534986
290	0.5445587772
291	0.5445578587
292	0.5445570552
293	0.5445563414
294	0.5445557062
295	0.5444956668
296	0.544498283
297	0.5445024233
298	0.5445043745
299	0.5444338646
300	0.5444352234
301	0.5444345434
302	0.5444358917
303	0.5444371185
304	0.5444382303
305	0.5444364005
306	0.5444405369
307	0.5444417778
308	0.5444429009
309	0.5444439277
310	0.5444326147
311	0.5444312842
312	0.5444402851
313	0.5444252576
314	0.5444316227
315	0.5444277008
316	0.5444241727
317	0.5444210081
318	0.5444181703
319	0.5444228357
320	0.5444207306
321	0.5444292736
322	0.5444273825
323	0.5444206084
324	0.5444197658
325	0.544419008
326	0.5444183267
327	0.5444177135
328	0.5444118103
329	0.5444121081
330	0.5444066749
331	0.5444077341
332	0.5444057208
333	0.5444068472
334	0.5444030491
335	0.5444030926
336	0.54439084
337	0.5443890081
338	0.5443873596
339	0.5443964785
340	0.5443950355
341	0.544386537
342	0.5443789284
343	0.5443614335
344	0.544361926
345	0.5443590546
346	0.5443179672
347	0.5442513969
348	0.5442643243
349	0.5442704495
350	0.5442815083
351	0.544291491
352	0.5442911555
353	0.5442889131
354	0.5442852994
355	0.5442911288
356	0.544296226
357	0.5442942342
358	0.5442943362
359	0.5442993553
360	0.544303878
361	0.544301396
362	0.544305842
363	0.5443098475
364	0.5442360124
365	0.5442389596
366	0.5442445713
367	0.5442474596
368	0.5442429191
369	0.5442388528
370	0.5442351971
371	0.5442319217
372	0.544232125
373	0.5442367023
374	0.5442408294
375	0.5442445489
376	0.5442519177
377	0.5442476987
378	0.5442471049
379	0.5442433022
380	0.5442368342
381	0.5442427733
382	0.5442481768
383	0.5442530494
384	0.5442548464
385	0.5442595805
386	0.5442630688
387	0.5441868549
388	0.5441899457
389	0.5441922639
390	0.5441948186
391	0.5441971412
392	0.5442039997
393	0.544206176
394	0.5442081397
395	0.5442099126
396	0.544211513
397	0.5442129579
398	0.5442061965
399	0.5442079962
400	0.5442147303
401	0.5442157471
402	0.5442171421
403	0.5442183987
404	0.5442195303
405	0.5442205489
406	0.5442208132
407	0.5442210562
408	0.5442227272
409	0.5442229293
410	0.5441758883
411	0.5441804668
412	0.5441845978
413	0.5441883243
414	0.5441887671
415	0.5441833587
416	0.544178496
417	0.5441831193
418	0.5441872822
419	0.5441910295
420	0.5441912145
421	0.5441296946
422	0.5441339752
423	0.5441340254
424	0.5441389185
425	0.5441382457
426	0.5441332837
427	0.5441399337
428	0.5441447364
429	0.5441490651
430	0.5441529636
431	0.5441564743
432	0.5441596448
433	0.5441574913
434	0.5441611045
435	0.5441650873
436	0.5441579229
437	0.5441514803
438	0.5441188438
439	0.5441270888
440	0.544123546
441	0.5441203585
442	0.5441198748
443	0.5441215932
444	0.5441273467
445	0.5441325327
446	0.544101967
447	0.5441079696
448	0.5441133789
449	0.5441182534
450	0.5441180849
451	0.5441109552
452	0.5441158661
453	0.5441202893
454	0.5441195354
455	0.54412306
456	0.544126233
457	0.5441279008
458	0.5441326731
459	0.5441256721
460	0.5441214437
461	0.544120188
462	0.544123433
